State,YEAR,        Less_than_9th_ grade,9th_to_12th_grade_no_diploma,High_school_graduate_(includes_equivalency),"Some_college,_no_degree",Associates_degree,Bachelors_degree,Graduate_or_professional_degree,Population
Nevada,2012,110279,167923,529535,483074,138034,272846,138951,1842654
New Hampshire,2012,21678,53619,270690,168980,87025,201804,116087,921895
New Jersey,2012,321489,388262,1737574,1037013,372831,1359609,832574,6051364
New Mexico,2012,93381,118407,360327,320975,111952,202552,152736,1362342
New York,2012,887313,1067406,3579976,2202708,1128596,2531374,1912388,13311773
North Carolina,2012,374003,588448,1760704,1428821,562049,1170056,605802,6491895
North Dakota,2012,18150,19815,128310,107531,56223,89629,38246,459916
Ohio,2012,240542,630709,2687397,1624773,625983,1240747,720565,7772728
Oklahoma,2012,113362,218198,786275,597927,180387,393930,197377,2489468
Oregon,2012,98481,172131,670179,712454,219073,497130,302324,2673784
Pennsylvania,2012,315187,654162,3220877,1441806,688751,1484305,951229,8758329
Rhode Island,2012,45697,53072,198539,128592,62628,132903,90840,714283
South Carolina,2012,163648,313643,937798,664104,281401,504036,286986,3153628
South Dakota,2012,23143,28373,178006,117848,53971,98719,44232,546304
Tennessee,2012,249189,395031,1433642,921906,283901,680286,372518,4338485
Texas,2012,1509777,1532519,4124497,3759687,1079819,2903294,1480786,16392391
Utah,2012,49663,97848,378463,451482,159358,333947,170574,1643347
Vermont,2012,12619,23650,132522,71373,39279,95120,60385,436960
Virginia,2012,272809,393399,1392291,1099243,395520,1132326,819178,5506778
Washington,2012,185719,260375,1101227,1178815,448208,944631,526884,4647871
West Virginia,2012,72746,128060,526232,245733,81746,147257,94427,1298213
Wisconsin,2012,128292,228239,1248011,816691,386784,688002,358151,3856182
Wyoming,2012,8713,22941,115631,101324,38055,64409,29869,382954
Alabama,2013,158191,340457,1001134,710602,258110,476016,280937,3227460
Alaska,2013,14292,24385,129029,127054,38486,84038,45375,464672
Arizona,2013,276191,336013,1079149,1090066,374877,741982,446459,4346750
Arkansas,2013,108906,196532,691814,439502,119812,262755,141182,1962516
California,2013,2537411,2070596,5228893,5524197,1980401,4905468,2900266,25149245
Colorado,2013,130184,202200,761103,801294,291173,837913,490368,3516248
Connecticut,2013,110636,144354,673455,435307,184109,508487,408967,2467328
Delaware,2013,24762,48785,196726,123795,48277,108075,79310,631743
Florida,2013,727313,1079856,4042708,2842328,1300616,2409162,1325013,13729009
Georgia,2013,360044,579775,1850063,1372039,477132,1149847,683272,6474185
Hawaii,2013,37445,48920,263311,210920,100056,199229,100022,961916
Idaho,2013,44147,64799,281769,273724,93044,185216,84190,1028902
Illinois,2013,473719,571283,2321273,1812345,654943,1698605,1061497,8595678
Indiana,2013,176925,359121,1478163,918557,352907,655276,371943,4314905
Iowa,2013,64445,107868,670345,437630,226473,370188,171321,2050283
Kansas,2013,75099,111152,498426,460264,146088,374418,206998,1874458
Kentucky,2013,194327,275420,979031,613570,224279,392610,274416,2955666
Louisiana,2013,177123,336513,1019022,653162,164926,453347,230880,3036986
Maine,2013,28083,49678,322855,192438,91720,172498,96690,955975
Maryland,2013,165397,270675,1030851,795361,252612,814992,688813,4020714
Massachusetts,2013,225989,239096,1190870,738371,355093,1037415,817961,4606808
Michigan,2013,219352,483287,1971925,1589120,594224,1089029,698358,6647308
Minnesota,2013,112595,162110,955079,796489,386177,813237,403646,3631346
Mississippi,2013,121974,218520,591240,443330,162584,248488,144918,1933067
Missouri,2013,148190,309497,1276285,916378,305928,685991,405014,4049296
Montana,2013,15112,35369,200303,180310,58287,135518,64270,691182
Nebraska,2013,52968,65545,329595,290983,119325,238160,118632,1217221
Nevada,2013,112938,165020,532452,487858,152516,282283,139817,1874897
New Hampshire,2013,26481,40407,270826,179643,87766,202495,116950,926581
New Jersey,2013,332020,367045,1751336,1019529,390906,1374616,851253,6088718
New Mexico,2013,100692,113754,361553,320668,105811,204226,155142,1363859
New York,2013,907812,1025819,3594712,2159804,1157285,2589891,1983987,13421323
North Carolina,2013,357638,580965,1743595,1446198,574725,1211484,653505,6570123
North Dakota,2013,19005,20778,128539,108110,64445,93470,33468,469828
Ohio,2013,248098,608491,2668826,1599640,639633,1279678,760888,7807267
Oklahoma,2013,109610,223025,809792,587829,179720,402956,193505,2508450
Oregon,2013,111549,165757,655870,711540,228207,521031,310089,2706056
Pennsylvania,2013,313556,638172,3209801,1428581,692226,1540228,986946,8811523
Rhode Island,2013,44100,57643,191854,133377,59867,142598,90517,721969
South Carolina,2013,161339,298753,939047,680531,284604,529944,304598,3200829
South Dakota,2013,19302,27093,172701,122701,62856,104240,42066,552972
Tennessee,2013,245616,384935,1437758,928049,291304,681475,400898,4372048
Texas,2013,1520001,1497796,4207669,3765377,1090662,3044921,1547230,16675669
Utah,2013,48917,92365,382199,464153,159320,348502,174993,1672462
Vermont,2013,14046,23225,133439,73769,35878,93427,62390,438187
Virginia,2013,261041,385383,1380486,1118219,405760,1172309,838026,5563237
Washington,2013,187704,275893,1095589,1157020,449430,984473,555995,4708117
West Virginia,2013,69868,129702,520535,241268,87697,146732,98223,1296038
Wisconsin,2013,119315,233248,1243158,819923,389016,711851,362780,3881304
Wyoming,2013,5641,19196,109099,106714,41261,68225,33778,385927
Alabama,2014,164748,333011,1028665,709158,256777,478058,286349,3258780
Alaska,2014,12625,20628,131987,131559,38086,85634,44630,467163
Arizona,2014,286007,332779,1079812,1138687,376649,765784,456508,4438240
Arkansas,2014,110814,177923,686786,448062,123871,272411,148547,1970428
California,2014,2555427,2038098,5360853,5560560,2002684,5120162,3016508,25656306
Colorado,2014,148162,190720,783816,792924,294629,862158,512054,3586477
Connecticut,2014,102610,142557,680274,421674,184589,527472,412642,2473832
Delaware,2014,21628,49039,199747,123261,50787,116931,78950,642357
Florida,2014,735213,1060480,4151300,2905454,1358245,2448663,1381841,14043210
Georgia,2014,352984,590904,1869967,1389410,462543,1199733,710867,6578422
Hawaii,2014,39436,41453,277667,211542,102149,200315,102024,976600
Idaho,2014,40558,62620,294862,288457,97174,175108,86414,1047207
Illinois,2014,451301,570565,2305681,1807750,670372,1737022,1096385,8641090
Indiana,2014,167710,333960,1488013,914635,367996,682893,387709,4344930
Iowa,2014,63410,98980,654890,441122,233906,383943,186483,2064748
Kansas,2014,73593,109291,498750,453519,153284,381292,211792,1883535
Kentucky,2014,195578,265461,1003583,614385,228473,386963,272738,2969195
Louisiana,2014,174289,328214,1033528,657995,165066,463860,237736,3062702
Maine,2014,29663,49751,310287,194499,93426,185890,95891,961421
Maryland,2014,167204,255410,1043926,776715,265874,841315,712369,4064827
Massachusetts,2014,230539,249308,1161032,730927,365816,1077993,838736,4656365
Michigan,2014,214925,462665,1980847,1576003,618746,1105362,721977,6682539
Minnesota,2014,108766,163742,943377,793963,404201,834094,424440,3674597
Mississippi,2014,113955,222019,585936,450012,167835,254250,156703,1952724
Missouri,2014,145466,308360,1279755,918431,304044,696669,424042,4078781
Montana,2014,15058,36344,213165,170233,57211,135401,68438,697864
Nebraska,2014,53249,65912,333560,283393,126818,247729,114040,1226715
Nevada,2014,117579,167990,540814,494809,154943,291473,151990,1921612
New Hampshire,2014,23781,49222,265993,174993,91285,201723,124307,933318
New Jersey,2014,316827,353099,1729723,1045432,391582,1415973,875295,6129945
New Mexico,2014,90947,126165,362284,321721,109771,206947,155987,1375836
New York,2014,902591,1027984,3599907,2177721,1163427,2651150,2016832,13541626
North Carolina,2014,335030,567696,1772285,1459970,614392,1239857,672707,6663951
North Dakota,2014,15778,21488,133393,112400,64475,94873,36443,480864
Ohio,2014,232917,603114,2666563,1603451,659197,1301747,790471,7859474
Oklahoma,2014,106853,215077,801435,609238,185914,405799,205569,2531899
Oregon,2014,115126,168320,666778,718634,231853,528064,318182,2748971
Pennsylvania,2014,308874,626094,3220327,1434926,700919,1554120,1013605,8860879
Rhode Island,2014,41609,61636,208366,133665,59701,131408,89486,727885
South Carolina,2014,148284,303682,989223,674243,288524,543917,313056,3262943
South Dakota,2014,18921,27453,170122,121974,62802,111108,43108,557502
Tennessee,2014,239689,389302,1473547,908129,296099,717801,400506,4427087
Texas,2014,1542434,1503261,4298854,3847197,1147113,3104847,1644182,17089902
Utah,2014,50703,95821,391862,467335,168810,353832,176371,1706748
Vermont,2014,12156,22891,134352,81955,34024,91472,61429,440293
Virginia,2014,268592,376397,1382376,1120719,408872,1173872,892467,5625309
Washington,2014,193566,264995,1090724,1170624,479799,1005685,579091,4786498
West Virginia,2014,64223,127823,532918,238727,84402,152434,95823,1298364
Wisconsin,2014,115028,221608,1244668,805935,402829,736544,371550,3900176
Wyoming,2014,8369,20473,106759,108417,41611,69557,33776,390976
Alabama,2015,158830,338052,1018063,707979,266452,504626,288250,3284267
Alaska,2015,12121,22495,128052,129326,38113,87869,51547,471538
Arizona,2015,271316,359657,1110871,1155555,382106,788933,468516,4538969
Arkansas,2015,105945,184126,678452,450886,135029,278975,154406,1989834
California,2015,2582757,2060753,5430081,5603279,1992703,5285754,3129936,26087278
Colorado,2015,135573,188280,796984,809037,301203,909032,531744,3673868
Connecticut,2015,104772,137496,678916,417520,187970,535933,412111,2476733
Delaware,2015,24692,47663,194810,130986,52556,117581,84348,654651
Florida,2015,750053,1031199,4201879,2935247,1383565,2620339,1471999,14396296
Georgia,2015,332116,593620,1879302,1382608,496008,1244449,755664,6685782
Hawaii,2015,39945,50050,267568,213206,105951,205033,104161,987929
Idaho,2015,39730,66804,292667,287585,102284,189566,87346,1067997
Illinois,2015,456567,535035,2314192,1804602,698002,1757697,1095843,8663953
Indiana,2015,164941,349195,1496775,900400,364142,697223,390897,4365588
Iowa,2015,66506,105159,664912,444608,236728,377035,179556,2076519
Kansas,2015,71948,111806,501278,446076,158308,384495,214568,1890494
Kentucky,2015,183951,260013,1002541,611050,235061,406865,289309,2990805
Louisiana,2015,159933,316837,1056533,654211,189683,470739,247319,3097270
Maine,2015,27176,52423,314332,184421,93335,187513,102040,963255
Maryland,2015,173874,251792,1029325,789382,266499,866352,725262,4104501
Massachusetts,2015,213496,245853,1184423,748705,362478,1086715,864974,4708659
Michigan,2015,201139,461761,1979472,1593413,622089,1145546,724927,6730362
Minnesota,2015,112193,155113,941170,794499,413953,847584,436423,3702950
Mississippi,2015,112812,209997,605790,438004,179135,253036,153563,1954352
Missouri,2015,145571,308053,1269953,915960,316815,706922,433938,4099227
Montana,2015,14391,31182,222399,161387,60796,144135,72039,708344
Nebraska,2015,47858,62768,331868,292746,125055,244556,127732,1234598
Nevada,2015,125701,157660,549151,512364,159610,304948,158733,1970182
New Hampshire,2015,18249,46392,267078,179983,91199,205513,128800,939229
New Jersey,2015,319454,355305,1757377,1024098,392077,1437307,880766,6168399
New Mexico,2015,92820,118788,369807,325356,106315,198116,166346,1379563
New York,2015,903295,1012572,3615023,2177053,1155067,2727078,2051385,13643488
North Carolina,2015,340573,568846,1785510,1452845,623813,1277412,713645,6764659
North Dakota,2015,18142,18826,135670,111721,64255,105625,37778,494032
Ohio,2015,233766,579508,2664823,1623927,679330,1329009,786107,7898485
Oklahoma,2015,108956,215702,808375,606070,188756,421765,208239,2559878
Oregon,2015,103304,176281,654930,722848,245431,566244,335423,2806476
Pennsylvania,2015,297088,620062,3174802,1423274,739478,1611499,1029524,8897742
Rhode Island,2015,40319,49725,204295,134773,62153,141131,97687,732098
South Carolina,2015,147012,306843,977099,685917,312720,575843,314398,3321847
South Dakota,2015,19422,30620,175958,119929,62294,110562,44323,565123
Tennessee,2015,237285,386520,1482137,915965,300500,719980,431100,4475502
Texas,2015,1559568,1511574,4425654,3816471,1204220,3266266,1689108,17474876
Utah,2015,49949,97817,421822,458040,159609,368302,186410,1743964
